	Unnamed: 0	STITCH	SMILES	salt_stripped
129	129	CID005311236	CCCCCCCC(=O)CCC1C(CC(C1CC=CCCCC(=O)O)O)O	CCCCCCCC(=O)CCC1C(O)CC(O)C1CC=CCCCC(=O)O
130	130	CID009831414	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OCC.CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC	CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC.CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OCC
131	131	CID024838347	C1=COC(C(C1O)O)C(=O)O.Cl	O=C(O)C1OC=CC(O)C1O
132	132	CID000004810	CC1=NC(=C(C(=N1)Cl)NC2=NCCN2)OC	COc1nc(C)nc(Cl)c1NC1=NCCN1
133	133	CID000010100	CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C	CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C
134	134	CID000004908	CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2	COc1cc(NC(C)CCCN)c2ncccc2c1
135	135	CID000003059	C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O	O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
136	136	CID006918366	CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NC(=O)N(N3)P(=O)([O-])[O-])C4=CC=C(C=C4)F.C[NH2+]CC(C(C(C(CO)O)O)O)O.C[NH2+]CC(C(C(C(CO)O)O)O)O	CC(OC1OCCN(Cc2nc(=O)n(P(=O)([O-])[O-])[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.C[NH2+]CC(O)C(O)C(O)C(O)CO.C[NH2+]CC(O)C(O)C(O)C(O)CO
137	137	CID000005909	CCC1C(COC1=O)CC2=CN=CN2C.Cl	CCC1C(=O)OCC1Cc1cncn1C
138	138	CID009916860	C1CN(CCN(CCN(CCN1CC(=O)O)CC(=O)O)C(CO)C(CO)O)CC(=O)O.[Gd]	O=C(O)CN1CCN(CC(=O)O)CCN(C(CO)C(O)CO)CCN(CC(=O)O)CC1
139	139	CID000123634	CC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C)C#C.CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O.CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O	C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C.CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O.CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
140	140	CID000443884	CC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C	CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
141	141	CID000002541	CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O	CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
142	142	CID000004999	C1C(=S)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F)CC(F)(F)F	Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
143	143	CID000004506	C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3	O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
144	144	CID000004114	COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2	COc1c2occc2cc2ccc(=O)oc12
145	145	CID000009642	CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C	CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C
